arm,model,age_bin,outcome,rate,ci_low,ci_high,n_rows,n_tasks
No search,Claude Sonnet 5,Newest: 8–9 mo,gated,0.061224489795918366,0.030612244897959183,0.09693877551020408,308,196
No search,Claude Sonnet 5,Newest: 8–9 mo,judge,0.10459183673469388,0.0663265306122449,0.14795918367346939,308,196
No search,Claude Sonnet 5,10–11 mo,gated,0.13143631436314362,0.0975609756097561,0.16666666666666666,457,369
No search,Claude Sonnet 5,10–11 mo,judge,0.2764227642276423,0.23170731707317074,0.32113821138211385,457,369
No search,Claude Sonnet 5,12–13 mo,gated,0.1413427561837456,0.10247349823321555,0.18374558303886926,283,283
No search,Claude Sonnet 5,12–13 mo,judge,0.2508833922261484,0.20141342756183744,0.303886925795053,283,283
No search,Claude Sonnet 5,Oldest: 14–16 mo,gated,0.1423487544483986,0.10320284697508897,0.18505338078291814,281,281
No search,Claude Sonnet 5,Oldest: 14–16 mo,judge,0.3487544483985765,0.2918149466192171,0.40569395017793597,281,281
Normalized,GLM-5.2,Newest: 8–9 mo,gated,0.36764705882352944,0.30392156862745096,0.4338235294117647,321,204
Normalized,GLM-5.2,Newest: 8–9 mo,judge,0.8357843137254902,0.7843137254901961,0.8823529411764706,321,204
Normalized,GLM-5.2,10–11 mo,gated,0.3770053475935829,0.32887700534759357,0.42513368983957217,457,374
Normalized,GLM-5.2,10–11 mo,judge,0.7794117647058824,0.7352941176470589,0.8195521390374326,457,374
Normalized,GLM-5.2,12–13 mo,gated,0.35815602836879434,0.30141843971631205,0.4148936170212766,282,282
Normalized,GLM-5.2,12–13 mo,judge,0.8049645390070922,0.7588652482269503,0.851063829787234,282,282
Normalized,GLM-5.2,Oldest: 14–16 mo,gated,0.3271375464684015,0.27137546468401486,0.3828996282527881,269,269
Normalized,GLM-5.2,Oldest: 14–16 mo,judge,0.7657992565055762,0.7137546468401487,0.8141263940520446,269,269
Normalized,DeepSeek V4,Newest: 8–9 mo,gated,0.36386138613861385,0.297029702970297,0.4306930693069307,317,202
Normalized,DeepSeek V4,Newest: 8–9 mo,judge,0.8341584158415841,0.7821782178217822,0.8836633663366337,317,202
Normalized,DeepSeek V4,10–11 mo,gated,0.37669376693766937,0.3265582655826558,0.4268292682926829,454,369
Normalized,DeepSeek V4,10–11 mo,judge,0.8048780487804879,0.7655826558265583,0.8455284552845529,454,369
Normalized,DeepSeek V4,12–13 mo,gated,0.35563380281690143,0.2992957746478873,0.4119718309859155,284,284
Normalized,DeepSeek V4,12–13 mo,judge,0.8028169014084507,0.7570422535211268,0.8485915492957746,284,284
Normalized,DeepSeek V4,Oldest: 14–16 mo,gated,0.34306569343065696,0.28832116788321166,0.3978102189781022,274,274
Normalized,DeepSeek V4,Oldest: 14–16 mo,judge,0.781021897810219,0.7335766423357665,0.8284671532846716,274,274
Normalized,GPT-5.6 Terra,Newest: 8–9 mo,gated,0.42326732673267325,0.3564356435643564,0.4900990099009901,317,202
Normalized,GPT-5.6 Terra,Newest: 8–9 mo,judge,0.8539603960396039,0.806930693069307,0.8985148514851485,317,202
Normalized,GPT-5.6 Terra,10–11 mo,gated,0.46747967479674796,0.4186991869918699,0.516260162601626,454,369
Normalized,GPT-5.6 Terra,10–11 mo,judge,0.8672086720867209,0.8333333333333334,0.8997289972899729,454,369
Normalized,GPT-5.6 Terra,12–13 mo,gated,0.4119718309859155,0.35563380281690143,0.46830985915492956,284,284
Normalized,GPT-5.6 Terra,12–13 mo,judge,0.8450704225352113,0.8028169014084507,0.8838028169014085,284,284
Normalized,GPT-5.6 Terra,Oldest: 14–16 mo,gated,0.3722627737226277,0.3175182481751825,0.42700729927007297,274,274
Normalized,GPT-5.6 Terra,Oldest: 14–16 mo,judge,0.8248175182481752,0.7773722627737226,0.8686131386861314,274,274
Normalized,Claude Sonnet 5,Newest: 8–9 mo,gated,0.37755102040816324,0.3112244897959184,0.44387755102040816,308,196
Normalized,Claude Sonnet 5,Newest: 8–9 mo,judge,0.826530612244898,0.7755102040816326,0.875,308,196
Normalized,Claude Sonnet 5,10–11 mo,gated,0.37533875338753386,0.3265582655826558,0.4254742547425474,457,369
Normalized,Claude Sonnet 5,10–11 mo,judge,0.7872628726287263,0.7439024390243902,0.8279132791327913,457,369
Normalized,Claude Sonnet 5,12–13 mo,gated,0.3498233215547703,0.29328621908127206,0.40636042402826855,283,283
Normalized,Claude Sonnet 5,12–13 mo,judge,0.7773851590106007,0.7279151943462897,0.823321554770318,283,283
Normalized,Claude Sonnet 5,Oldest: 14–16 mo,gated,0.3238434163701068,0.2704626334519573,0.37722419928825623,281,281
Normalized,Claude Sonnet 5,Oldest: 14–16 mo,judge,0.7900355871886121,0.7402135231316725,0.8362989323843416,281,281
