outcome,spec,term,estimate,se,ci_low,ci_high,z,p,std_effect,n_obs,n_groups
gated,treatment_only_all_arms,mdl_Claude_Sonnet_5,-0.06533432830378126,0.01101602248829902,-0.08692533563373064,-0.04374332097383188,-5.930845581803956,3.013785490822179e-09,-0.1431294573234255,18606,1129
gated,treatment_only_all_arms,mdl_DeepSeek_V4,-0.06170052671180099,0.011015012710478797,-0.08328955491359036,-0.040111498510011626,-5.601493918668298,2.1251224497341077e-08,-0.13516880228366085,18606,1129
gated,treatment_only_all_arms,mdl_GLM_5_2,-0.06333384325375196,0.011016022488299393,-0.08492485058370208,-0.041742835923801846,-5.749247817987087,8.964134713719937e-09,-0.13874694743883628,18606,1129
gated,treatment_only_all_arms,arm_No_search,-0.15738952421687133,0.011016022488299223,-0.17898053154682111,-0.13579851688692154,-14.287327788595581,2.624897855577399e-46,-0.3447969509200443,18606,1129
gated,treatment_only_all_arms,arm_Wide,-0.001504890895400487,0.01101501271047861,-0.023093919097189483,0.020084137306388507,-0.1366218028935074,0.8913297418829382,-0.003296800055678686,18606,1129
gated,treatment_only_all_arms,arm_Native,-0.03310759969901144,0.011015012710478103,-0.05469662790079945,-0.011518571497223438,-3.0056796636755236,0.0026498799833689904,-0.07252960122537082,18606,1129
gated,treatment_only_all_arms,ix_Claude_Sonnet_5__No_search,-0.07662101001939704,0.015578294401978401,-0.10715390598783665,-0.04608811405095743,-4.918446656757648,8.723368168186613e-07,-0.1678554577412613,18606,1129
gated,treatment_only_all_arms,ix_Claude_Sonnet_5__Wide,-0.00012842564655424863,0.015578294401978391,-0.030661321614993835,0.030404470321885337,-0.00824388365249658,0.9934224070166788,-0.0002813450995049997,18606,1129
gated,treatment_only_all_arms,ix_Claude_Sonnet_5__Native,0.024023366616062487,0.015577710794309184,-0.0065083855023643535,0.05455511873448933,1.5421628333759188,0.12303402924181889,0.05262855708642402,18606,1129
gated,treatment_only_all_arms,ix_DeepSeek_V4__No_search,-0.15713267292383543,0.01557829440197872,-0.18766556889227565,-0.1265997769553952,-10.08664163542042,6.32981381531839e-24,-0.34423426072119334,18606,1129
gated,treatment_only_all_arms,ix_DeepSeek_V4__Wide,0.006147989228173523,0.015578294401978715,-0.0243849067402667,0.03668088519661374,0.39465098485958905,0.693100480854584,0.0134685453222577,18606,1129
gated,treatment_only_all_arms,ix_GLM_5_2__No_search,-0.1840922833946767,0.01558043631696004,-0.21462937743933827,-0.15355518935001514,-11.815605137725417,3.2420608007568915e-32,-0.40329531662431384,18606,1129
gated,treatment_only_all_arms,ix_GLM_5_2__Wide,0.0017576835901734742,0.015580346782169416,-0.0287792349695231,0.03229460214987005,0.11281415072128025,0.9101778993130103,0.0038505989873819438,18606,1129
used_searches,treatment_only_all_arms,Intercept,2.089709614278492,0.03777352447068178,2.0156748667468136,2.1637443618101706,55.32207130686036,0.0,1.5835929947552996,18606,1129
used_searches,treatment_only_all_arms,cat_Arts_and_culture,-0.260380945945666,0.0894268084678088,-0.4356542697949328,-0.08510762209639924,-2.9116654212186943,0.0035950749036438422,-0.19731805756642487,18606,1129
used_searches,treatment_only_all_arms,cat_Business_and_economy,-0.06348621342762653,0.07584567353702208,-0.21214100194337246,0.0851685750881194,-0.8370446258432579,0.402567484329298,-0.048110188210164835,18606,1129
