outcome,spec,model,contrast,estimate,se,ci_low,ci_high,p,p_bh
gated,treatment_only_all_arms,GLM-5.2,Normalized - No search (retrieval gain),0.341481807611548,0.011016022488298168,0.3198904035344836,0.3630732116886124,5.621402186148363e-211,1.1242804372296725e-209
gated,treatment_only_all_arms,GLM-5.2,Wide - Normalized (result tier),0.00025279269477298714,0.011018924668071148,-0.021344299654646463,0.021849885044192437,0.9816967896038097,0.9816967896038097
gated,treatment_only_all_arms,GPT-5.6 Terra,Normalized - No search (retrieval gain),0.15738952421687133,0.011016022488299223,0.13579812013980486,0.1789809282939378,2.624897855577399e-46,1.3124489277886995e-45
gated,treatment_only_all_arms,GPT-5.6 Terra,Wide - Normalized (result tier),-0.001504890895400487,0.01101501271047861,-0.02309431580793856,0.020084534017137584,0.8913297418829382,0.9816967896038097
gated,treatment_only_all_arms,GPT-5.6 Terra,Native - Normalized (implementation),-0.03310759969901144,0.011015012710478103,-0.05469702461154852,-0.01151817478647436,0.0026498799833689904,0.005299759966737981
gated,treatment_only_all_arms,Claude Sonnet 5 - DeepSeek V4,difference in retrieval gain,-0.08051166290443838,0.015577580364869314,-0.11104372041958224,-0.049979605389294524,2.3606630448197237e-07,5.901657612049309e-07
gated,treatment_only_all_arms,Claude Sonnet 5 - GLM-5.2,difference in retrieval gain,-0.10747127337527966,0.015578294401977087,-0.13800473040315475,-0.07693781634740457,5.244989919729456e-12,1.4985685484941302e-11
gated,treatment_only_all_arms,Claude Sonnet 5 - GPT-5.6 Terra,difference in retrieval gain,0.07662101001939704,0.015578294401978401,0.04608755299151938,0.10715446704727472,8.723368168186613e-07,1.938526259597025e-06
gated,treatment_only_all_arms,DeepSeek V4 - GLM-5.2,difference in retrieval gain,-0.026959610470841278,0.015578294401977227,-0.057493067498716646,0.0035738465570340876,0.08352526067034023,0.1518641103097095
gated,treatment_only_all_arms,DeepSeek V4 - GPT-5.6 Terra,difference in retrieval gain,0.15713267292383543,0.01557829440197872,0.12659921589595713,0.18766612995171372,6.32981381531839e-24,2.1099379384394632e-23
gated,treatment_only_all_arms,GLM-5.2 - GPT-5.6 Terra,difference in retrieval gain,0.1840922833946767,0.01558043631696004,0.15355462821343502,0.2146299385759184,3.2420608007568915e-32,1.2968243203027566e-31
used_searches,treatment_only_all_arms,Claude Sonnet 5,Normalized - No search (retrieval gain),2.170805116629084,0.02701291228703131,2.1178598085465024,2.2237504247116653,0.0,0.0
used_searches,treatment_only_all_arms,Claude Sonnet 5,Wide - Normalized (result tier),-0.08548653951142504,0.027013808646976063,-0.13843360445949812,-0.03253947456335196,0.0015532314280347341,0.0016567801899037165
used_searches,treatment_only_all_arms,Claude Sonnet 5,Native - Normalized (implementation),0.14534687222520853,0.02701307601958671,0.09240124322681859,0.19829250122359848,7.42331707403228e-08,9.897756098709708e-08
used_searches,treatment_only_all_arms,DeepSeek V4,Normalized - No search (retrieval gain),2.5763732129421064,0.02701291228703138,2.523427904859525,2.629318521024688,0.0,0.0
used_searches,treatment_only_all_arms,DeepSeek V4,Wide - Normalized (result tier),-0.18313648531931664,0.027013808646976136,-0.23608355026738986,-0.13018942037124343,1.2070471730403446e-11,1.755704978967774e-11
used_searches,treatment_only_all_arms,GLM-5.2,Normalized - No search (retrieval gain),2.5202320458911953,0.02701380864697613,2.467284980943122,2.5731791108392685,0.0,0.0
used_searches,treatment_only_all_arms,GLM-5.2,Wide - Normalized (result tier),-0.11344206458583736,0.027016385146805287,-0.1663941794735757,-0.060489949698098996,2.680847809478431e-05,3.299504996281146e-05
used_searches,treatment_only_all_arms,GPT-5.6 Terra,Normalized - No search (retrieval gain),2.044102039887651,0.027013808646975185,1.9911549749395796,2.0970491048357225,0.0,0.0
used_searches,treatment_only_all_arms,GPT-5.6 Terra,Wide - Normalized (result tier),-0.28141459744169556,0.02701291228703044,-0.3343599055242752,-0.2284692893591159,2.0569684820044994e-25,3.656832856896888e-25
used_searches,treatment_only_all_arms,GPT-5.6 Terra,Native - Normalized (implementation),-0.3589164785553048,0.027012912287030684,-0.4118617866378849,-0.30597117047272465,2.7595760384959188e-40,7.358869435989117e-40
used_searches,treatment_only_all_arms,Claude Sonnet 5 - DeepSeek V4,difference in retrieval gain,-0.4055680963130225,0.03820202691551455,-0.480444069067431,-0.330692123558614,2.500111695472384e-26,5.000223390944768e-26
used_searches,treatment_only_all_arms,Claude Sonnet 5 - GLM-5.2,difference in retrieval gain,-0.34942692926211144,0.038202660742967756,-0.42430414431832825,-0.27454971420589463,5.871841271060561e-20,9.394946033696897e-20
used_searches,treatment_only_all_arms,Claude Sonnet 5 - GPT-5.6 Terra,difference in retrieval gain,0.12670307674143289,0.03820266074296695,0.05182586168521766,0.2015802917976481,0.0009111884381490248,0.001041358215027457
used_searches,treatment_only_all_arms,DeepSeek V4 - GLM-5.2,difference in retrieval gain,0.056141167050911045,0.03820266074296807,-0.01873604800530637,0.13101838210712846,0.1416804998089839,0.1416804998089839
used_searches,treatment_only_all_arms,DeepSeek V4 - GPT-5.6 Terra,difference in retrieval gain,0.5322711730544554,0.0382026607429667,0.4573939579982406,0.6071483881106701,4.00179882206457e-44,1.2805756230606624e-43
used_searches,treatment_only_all_arms,GLM-5.2 - GPT-5.6 Terra,difference in retrieval gain,0.4761300060035443,0.038204562162233745,0.40124906416556616,0.5510109478415225,1.1934123854228166e-35,2.727799738109295e-35
